インデックス,始点_行,始点_列,終点_行,終点_列,図鑑ナンバー,名前
123,25,15,27,15,39,◯◯◯
124,25,23,25,25,23,◯◯◯
125,26,3,29,3,137,◯◯◯◯
126,26,5,26,7,35,◯◯◯
127,26,26,29,26,19,◯◯◯タ
128,26,28,26,31,86,パ◯◯◯
129,27,1,27,5,67,◯ー◯◯◯
130,27,9,30,9,109,ド◯◯◯
131,27,11,27,15,53,◯◯◯◯◯
132,27,13,31,13,134,◯◯◯◯◯
133,27,20,30,20,7,ゼ◯◯◯
134,27,23,27,27,64,◯◯◯◯ー
135,28,0,31,0,15,◯◯◯ー
136,28,6,28,10,110,◯◯◯◯◯
137,28,7,31,7,116,◯◯◯◯
138,28,17,28,21,76,◯◯◯◯◯
139,28,17,30,17,92,◯◯◯
140,28,28,28,31,94,◯◯◯◯
141,28,30,31,30,105,◯◯◯◯
142,29,0,29,3,17,◯ジ◯◯
143,29,5,31,5,37,ロ◯◯
144,29,13,29,17,66,◯◯◯◯◯
145,29,23,31,23,98,◯◯◯
146,30,9,30,13,121,◯◯ー◯◯
147,30,20,30,24,72,◯◯◯◯◯
148,31,4,31,7,56,マ◯◯◯
149,31,13,31,16,41,◯◯◯◯
150,31,26,31,30,124,◯◯◯◯◯
